keyword,search_volume,cpc,competition,arbitrage_score,blueprint_title_idea,blueprint_content_angle,blueprint_monetization_hint,customer_domain,customer_da_keyword_count_top10,customer_da_traffic
orlando emergency plumber,480,73.41,0.38999998569488525,407.165646,Emergency Orlando Emergency Plumber: 24/7 Fast Response,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
emergency plumber orlando,480,63.7,0.8500000238418579,182.606635,Emergency Emergency Plumber Orlando: 24/7 Fast Response,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
emergency plumber orlando fl,480,63.7,0.8500000238418579,182.606635,Emergency Emergency Plumber Orlando Fl: 24/7 Fast Response,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
emergency plumbing orlando,480,63.7,0.8500000238418579,182.606635,Emergency Emergency Plumbing Orlando: 24/7 Fast Response,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
24 hour plumber orlando,40,76.92,0.5899999737739563,180.916695,24 Hour Plumber Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
24 hour plumber orlando fl,40,76.92,0.5899999737739563,180.916695,24 Hour Plumber Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
leak detection in orlando,260,45.0,0.6600000262260437,146.169434,Leak Detection In Orlando Services: Your Local Experts,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumber orlando,4400,21.03,0.5699999928474426,119.7989,Plumber Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando plumber,4400,21.03,0.5699999928474426,119.7989,Orlando Plumber Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumber in orlando fl,4400,21.03,0.5699999928474426,119.7989,Plumber In Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumber in orlando florida,4400,21.03,0.5699999928474426,119.7989,Plumber In Orlando Florida Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumber orlando florida,4400,21.03,0.5699999928474426,119.7989,Plumber Orlando Florida Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumbers in orlando,4400,21.03,0.5699999928474426,119.7989,Plumbers In Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumbers orlando,4400,21.03,0.5699999928474426,119.7989,Plumbers Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumber in orlando,4400,21.03,0.5699999928474426,119.7989,Plumber In Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumbing in orlando,4400,21.03,0.5699999928474426,119.7989,Plumbing In Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando water leak detection,90,39.26,0.5899999737739563,114.025806,Orlando Water Leak Detection Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
water heater repair orlando,140,29.9,0.49000000953674316,112.398907,Water Heater Repair Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando water heater repair,140,29.9,0.49000000953674316,112.398907,Orlando Water Heater Repair Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando plumbers,4400,17.74,0.5699999928474426,101.907916,Orlando Plumbers Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumber orlando fl,4400,17.74,0.5699999928474426,101.907916,Plumber Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumbing orlando,4400,17.74,0.5699999928474426,101.907916,Plumbing Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
plumbing orlando fl,4400,17.74,0.5699999928474426,101.907916,Plumbing Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando plumbing,4400,17.74,0.5699999928474426,101.907916,Orlando Plumbing Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
water heater orlando fl,210,19.16,0.4000000059604645,93.631881,Water Heater Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
water heaters orlando,210,19.16,0.4000000059604645,93.631881,Water Heaters Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando water heater,210,19.16,0.4000000059604645,93.631881,Orlando Water Heater Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando leak locators,40,21.44,0.28999999165534973,92.180069,Orlando Leak Locators Services: Your Local Experts,Quick wins / long-tail blog,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
leak detection orlando,720,20.04,0.6100000143051147,84.673626,Leak Detection Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
leak detection orlando florida,720,20.04,0.6100000143051147,84.673626,Leak Detection Orlando Florida Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
leak detection orlando fl,720,20.04,0.6100000143051147,84.673626,Leak Detection Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando leak detection,720,20.04,0.6100000143051147,84.673626,Orlando Leak Detection Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
water heater repair orlando fl,110,21.31,0.46000000834465027,81.327625,Water Heater Repair Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
water heater orlando,210,18.0,0.46000000834465027,78.789582,Water Heater Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
water leak detection orlando,90,28.24,0.6399999856948853,77.218989,Water Leak Detection Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando leak detection orlando fl,720,18.12,0.6499999761581421,72.842932,Orlando Leak Detection Orlando Fl Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando water heater installation,70,23.65,0.5600000023841858,68.911616,Orlando Water Heater Installation Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
water heater installation orlando,70,23.65,0.5600000023841858,68.911616,Water Heater Installation Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
drain cleaning orlando,110,12.0,0.3499999940395355,58.973567,Drain Cleaning Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
commercial plumbing orlando,210,18.06,0.6800000071525574,56.745512,Commercial Plumbing Orlando Services: Your Local Experts,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
commercial plumbers in orlando fl,210,18.06,0.6800000071525574,56.745512,Commercial Plumbers In Orlando Fl Services: Your Local Experts,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando commercial plumbing,210,18.06,0.6800000071525574,56.745512,Orlando Commercial Plumbing Services: Your Local Experts,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando commercial plumbers,210,18.06,0.6800000071525574,56.745512,Orlando Commercial Plumbers Services: Your Local Experts,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando commercial plumber,210,18.06,0.6800000071525574,56.745512,Orlando Commercial Plumber Services: Your Local Experts,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
hot water heater repair orlando,20,32.57,0.8299999833106995,46.962987,Hot Water Heater Repair Orlando Services: Your Local Experts,In-depth guide / landing page,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
orlando drain cleaning,110,9.99,0.44999998807907104,40.790738,Orlando Drain Cleaning Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
water heater replacement orlando,50,12.79,0.49000000953674316,39.709824,Water Heater Replacement Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
leak doctor orlando,590,6.64,0.5699999928474426,31.595984,Leak Doctor Orlando Services: Your Local Experts,Comparison / listicle,Service / conversion page,https://www.benjaminfranklinplumbing.com/,10784,730355.3
commercial plumbers orlando,210,4.9,0.5699999928474426,20.449394,Commercial Plumbers Orlando Services: Your Local Experts,Comparison / listicle,Lead gen blog post,https://www.benjaminfranklinplumbing.com/,10784,730355.3
florida leak detectors orlando,40,0.0,0.4300000071525574,3.022755,Florida Leak Detectors Orlando Services: Your Local Experts,Comparison / listicle,Top-of-funnel explainer,https://www.benjaminfranklinplumbing.com/,10784,730355.3
